29.4837 	EXP 	Stimuli: text = '+'
29.6769 	EXP 	New trial (rep=0, index=19): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 29.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
29.6983 	EXP 	Stimuli: autoDraw = False
29.6983 	EXP 	Stimuli: autoDraw = False
29.6983 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
29.6983 	EXP 	Stimuli: height = 0.05
29.6983 	EXP 	Stimuli: height = 0.05
29.6983 	EXP 	Stimuli: height = 0.05
29.6983 	EXP 	Stimuli: text = 'X'
29.6983 	EXP 	Stimuli: height = 0.15
29.6983 	EXP 	Stimuli: autoDraw = True
29.6983 	EXP 	Stimuli: height = 0.15
29.6983 	EXP 	Stimuli: height = 0.15
29.6983 	EXP 	Stimuli: height = 0.15
29.6983 	EXP 	Stimuli: text = 'X'
32.4916 	EXP 	New trial (rep=0, index=20): OrderedDict([('stimuli', '+'), ('trial_type', 'rest'), ('stimulus_onset', 31.8), ('block_type', 'rest'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 10.0), ('cor_res', None)])
32.5156 	EXP 	Stimuli: autoDraw = False
32.5156 	EXP 	Stimuli: autoDraw = False
32.5156 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
32.5156 	EXP 	Stimuli: height = 0.15
32.5156 	EXP 	Stimuli: height = 0.15
32.5156 	EXP 	Stimuli: height = 0.15
32.5156 	EXP 	Stimuli: text = '+'
32.5156 	EXP 	Stimuli: height = 0.05
32.5156 	EXP 	Stimuli: autoDraw = True
32.5156 	EXP 	Stimuli: height = 0.05
32.5156 	EXP 	Stimuli: height = 0.05
32.5156 	EXP 	Stimuli: height = 0.05
32.5156 	EXP 	Stimuli: text = '+'
42.4996 	EXP 	New trial (rep=0, index=21): OrderedDict([('stimuli', [1]), ('trial_type', 'cue'), ('stimulus_onset', 41.8), ('block_type', '1-back'), ('stimulus_size', 0.15), ('stimulus_color', 'blue'), ('stimulus_duration', 2.0), ('cor_res', None)])
42.5251 	EXP 	Stimuli: autoDraw = False
42.5251 	EXP 	Stimuli: autoDraw = False
42.5251 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
42.5251 	EXP 	Stimuli: height = 0.05
42.5251 	EXP 	Stimuli: height = 0.05
42.5251 	EXP 	Stimuli: height = 0.05
42.5251 	EXP 	Stimuli: text = [1]
42.5251 	EXP 	Stimuli: height = 0.15
42.5251 	EXP 	Stimuli: autoDraw = True
42.5251 	EXP 	Stimuli: height = 0.15
42.5251 	EXP 	Stimuli: height = 0.15
42.5251 	EXP 	Stimuli: height = 0.15
42.5251 	EXP 	Stimuli: text = '[1]'
44.5180 	EXP 	New trial (rep=0, index=22): OrderedDict([('stimuli', 'E'), ('trial_type', 'non-target'), ('stimulus_onset', 43.8), ('block_type', '1-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
44.5453 	EXP 	Stimuli: autoDraw = False
44.5453 	EXP 	Stimuli: autoDraw = False
44.5453 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
44.5453 	EXP 	Stimuli: height = 0.15
44.5453 	EXP 	Stimuli: height = 0.15
44.5453 	EXP 	Stimuli: height = 0.15
44.5453 	EXP 	Stimuli: text = 'E'
44.5453 	EXP 	Stimuli: height = 0.15
44.5453 	EXP 	Stimuli: autoDraw = True
44.5453 	EXP 	Stimuli: height = 0.15
44.5453 	EXP 	Stimuli: height = 0.15
44.5453 	EXP 	Stimuli: height = 0.15
44.5453 	EXP 	Stimuli: text = 'E'
47.3448 	EXP 	New trial (rep=0, index=23): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 46.6), ('block_type', '1-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
47.3652 	EXP 	Stimuli: autoDraw = False
47.3652 	EXP 	Stimuli: autoDraw = False
47.3652 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
47.3652 	EXP 	Stimuli: height = 0.15
47.3652 	EXP 	Stimuli: height = 0.15
47.3652 	EXP 	Stimuli: height = 0.15
47.3652 	EXP 	Stimuli: text = '+'
47.3652 	EXP 	Stimuli: height = 0.05
47.3652 	EXP 	Stimuli: autoDraw = True
47.3652 	EXP 	Stimuli: height = 0.05
47.3652 	EXP 	Stimuli: height = 0.05
47.3652 	EXP 	Stimuli: height = 0.05
47.3652 	EXP 	Stimuli: text = '+'
47.5616 	EXP 	New trial (rep=0, index=24): OrderedDict([('stimuli', 'E'), ('trial_type', 'target'), ('stimulus_onset', 46.8), ('block_type', '1-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
47.5816 	EXP 	Stimuli: autoDraw = False
47.5816 	EXP 	Stimuli: autoDraw = False
47.5816 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
47.5816 	EXP 	Stimuli: height = 0.05
47.5816 	EXP 	Stimuli: height = 0.05
47.5816 	EXP 	Stimuli: height = 0.05
47.5816 	EXP 	Stimuli: text = 'E'
47.5816 	EXP 	Stimuli: height = 0.15
47.5816 	EXP 	Stimuli: autoDraw = True
47.5816 	EXP 	Stimuli: height = 0.15
47.5816 	EXP 	Stimuli: height = 0.15
47.5816 	EXP 	Stimuli: height = 0.15
47.5816 	EXP 	Stimuli: text = 'E'
50.3761 	EXP 	New trial (rep=0, index=25): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 49.6), ('block_type', '1-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
50.3989 	EXP 	Stimuli: autoDraw = False
50.3989 	EXP 	Stimuli: autoDraw = False
50.3989 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
50.3989 	EXP 	Stimuli: height = 0.15
50.3989 	EXP 	Stimuli: height = 0.15
50.3989 	EXP 	Stimuli: height = 0.15
50.3989 	EXP 	Stimuli: text = '+'
50.3989 	EXP 	Stimuli: height = 0.05
50.3989 	EXP 	Stimuli: autoDraw = True
50.3989 	EXP 	Stimuli: height = 0.05
50.3989 	EXP 	Stimuli: height = 0.05
50.3989 	EXP 	Stimuli: height = 0.05
50.3989 	EXP 	Stimuli: text = '+'
