26.5739 	EXP 	Stimuli: autoDraw = False
26.5739 	EXP 	Stimuli: height = 0.3
26.5739 	EXP 	Stimuli: height = 0.3
26.5739 	EXP 	Stimuli: height = 0.3
26.5739 	EXP 	Stimuli: text = '+'
26.5739 	EXP 	Stimuli: height = 0.1
26.5739 	EXP 	Stimuli: autoDraw = True
26.5739 	EXP 	Stimuli: height = 0.1
26.5739 	EXP 	Stimuli: height = 0.1
26.5739 	EXP 	Stimuli: height = 0.1
26.5739 	EXP 	Stimuli: text = '+'
26.7696 	EXP 	New trial (rep=0, index=17): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 26.0), ('block_type', '0-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'left')])
26.7907 	EXP 	Stimuli: autoDraw = False
26.7907 	EXP 	Stimuli: autoDraw = False
26.7907 	EXP 	Stimuli: height = 0.1
26.7907 	EXP 	Stimuli: height = 0.1
26.7907 	EXP 	Stimuli: height = 0.1
26.7907 	EXP 	Stimuli: text = 'X'
26.7907 	EXP 	Stimuli: height = 0.3
26.7907 	EXP 	Stimuli: autoDraw = True
26.7907 	EXP 	Stimuli: height = 0.3
26.7907 	EXP 	Stimuli: height = 0.3
26.7907 	EXP 	Stimuli: height = 0.3
26.7907 	EXP 	Stimuli: text = 'X'
29.5839 	EXP 	New trial (rep=0, index=18): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 28.8), ('block_type', '0-back'), ('stimulus_size', 0.1), ('stimulus_duration', 0.2), ('cor_res', None)])
29.6040 	EXP 	Stimuli: autoDraw = False
29.6040 	EXP 	Stimuli: autoDraw = False
29.6040 	EXP 	Stimuli: height = 0.3
29.6040 	EXP 	Stimuli: height = 0.3
29.6040 	EXP 	Stimuli: height = 0.3
29.6040 	EXP 	Stimuli: text = '+'
29.6040 	EXP 	Stimuli: height = 0.1
29.6040 	EXP 	Stimuli: autoDraw = True
29.6040 	EXP 	Stimuli: height = 0.1
29.6040 	EXP 	Stimuli: height = 0.1
29.6040 	EXP 	Stimuli: height = 0.1
29.6040 	EXP 	Stimuli: text = '+'
29.8005 	EXP 	New trial (rep=0, index=19): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 29.0), ('block_type', '0-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'left')])
29.8206 	EXP 	Stimuli: autoDraw = False
29.8206 	EXP 	Stimuli: autoDraw = False
29.8206 	EXP 	Stimuli: height = 0.1
29.8206 	EXP 	Stimuli: height = 0.1
29.8206 	EXP 	Stimuli: height = 0.1
29.8206 	EXP 	Stimuli: text = 'X'
29.8206 	EXP 	Stimuli: height = 0.3
29.8206 	EXP 	Stimuli: autoDraw = True
29.8206 	EXP 	Stimuli: height = 0.3
29.8206 	EXP 	Stimuli: height = 0.3
29.8206 	EXP 	Stimuli: height = 0.3
29.8206 	EXP 	Stimuli: text = 'X'
32.6156 	EXP 	New trial (rep=0, index=20): OrderedDict([('stimuli', '+'), ('trial_type', 'rest'), ('stimulus_onset', 31.8), ('block_type', 'rest'), ('stimulus_size', 0.1), ('stimulus_duration', 10.0), ('cor_res', None)])
32.6386 	EXP 	Stimuli: autoDraw = False
32.6386 	EXP 	Stimuli: autoDraw = False
32.6386 	EXP 	Stimuli: height = 0.3
32.6386 	EXP 	Stimuli: height = 0.3
32.6386 	EXP 	Stimuli: height = 0.3
32.6386 	EXP 	Stimuli: text = '+'
32.6386 	EXP 	Stimuli: height = 0.1
32.6386 	EXP 	Stimuli: autoDraw = True
32.6386 	EXP 	Stimuli: height = 0.1
32.6386 	EXP 	Stimuli: height = 0.1
32.6386 	EXP 	Stimuli: height = 0.1
32.6386 	EXP 	Stimuli: text = '+'
42.6240 	EXP 	New trial (rep=0, index=21): OrderedDict([('stimuli', 'png'), ('trial_type', 'cue'), ('stimulus_onset', 41.8), ('block_type', 'cue'), ('stimulus_size', 0.2), ('stimulus_duration', 2.0), ('cor_res', None)])
42.6542 	EXP 	Stimuli: autoDraw = False
42.6542 	EXP 	Stimuli: autoDraw = False
42.6542 	EXP 	Stimuli: height = 0.1
42.6542 	EXP 	Stimuli: height = 0.1
42.6542 	EXP 	Stimuli: height = 0.1
42.6542 	EXP 	Stimuli: text = 'png'
42.6542 	EXP 	Stimuli: height = 0.2
42.6542 	EXP 	Stimuli: autoDraw = True
42.6542 	EXP 	Stimuli: height = 0.2
42.6542 	EXP 	Stimuli: height = 0.2
42.6542 	EXP 	Stimuli: height = 0.2
42.6542 	EXP 	Stimuli: text = 'png'
44.6389 	EXP 	New trial (rep=0, index=22): OrderedDict([('stimuli', 'Q'), ('trial_type', 'non-target'), ('stimulus_onset', 43.8), ('block_type', '1-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'right')])
44.6754 	EXP 	Stimuli: autoDraw = False
44.6754 	EXP 	Stimuli: autoDraw = False
44.6754 	EXP 	Stimuli: height = 0.2
44.6754 	EXP 	Stimuli: height = 0.2
44.6754 	EXP 	Stimuli: height = 0.2
44.6754 	EXP 	Stimuli: text = 'Q'
44.6754 	EXP 	Stimuli: height = 0.3
44.6754 	EXP 	Stimuli: autoDraw = True
44.6754 	EXP 	Stimuli: height = 0.3
44.6754 	EXP 	Stimuli: height = 0.3
44.6754 	EXP 	Stimuli: height = 0.3
44.6754 	EXP 	Stimuli: text = 'Q'
47.4698 	EXP 	New trial (rep=0, index=23): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 46.6), ('block_type', '1-back'), ('stimulus_size', 0.1), ('stimulus_duration', 0.2), ('cor_res', None)])
47.4909 	EXP 	Stimuli: autoDraw = False
47.4909 	EXP 	Stimuli: autoDraw = False
47.4909 	EXP 	Stimuli: height = 0.3
47.4909 	EXP 	Stimuli: height = 0.3
47.4909 	EXP 	Stimuli: height = 0.3
47.4909 	EXP 	Stimuli: text = '+'
47.4909 	EXP 	Stimuli: height = 0.1
47.4909 	EXP 	Stimuli: autoDraw = True
47.4909 	EXP 	Stimuli: height = 0.1
47.4909 	EXP 	Stimuli: height = 0.1
47.4909 	EXP 	Stimuli: height = 0.1
47.4909 	EXP 	Stimuli: text = '+'
47.6863 	EXP 	New trial (rep=0, index=24): OrderedDict([('stimuli', 'Z'), ('trial_type', 'non-target'), ('stimulus_onset', 46.8), ('block_type', '1-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'right')])
47.7052 	EXP 	Stimuli: autoDraw = False
47.7052 	EXP 	Stimuli: autoDraw = False
47.7052 	EXP 	Stimuli: height = 0.1
47.7052 	EXP 	Stimuli: height = 0.1
47.7052 	EXP 	Stimuli: height = 0.1
47.7052 	EXP 	Stimuli: text = 'Z'
47.7052 	EXP 	Stimuli: height = 0.3
47.7052 	EXP 	Stimuli: autoDraw = True
47.7052 	EXP 	Stimuli: height = 0.3
47.7052 	EXP 	Stimuli: height = 0.3
47.7052 	EXP 	Stimuli: height = 0.3
47.7052 	EXP 	Stimuli: text = 'Z'
