20.4057 	EXP 	Stimuli: height = 0.05
20.4057 	EXP 	Stimuli: text = '+'
20.5981 	EXP 	New trial (rep=0, index=13): OrderedDict([('stimuli', 'T'), ('trial_type', 'non-target'), ('stimulus_onset', 20.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
20.6201 	EXP 	Stimuli: autoDraw = False
20.6201 	EXP 	Stimuli: autoDraw = False
20.6201 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
20.6201 	EXP 	Stimuli: height = 0.05
20.6201 	EXP 	Stimuli: height = 0.05
20.6201 	EXP 	Stimuli: height = 0.05
20.6201 	EXP 	Stimuli: text = 'T'
20.6201 	EXP 	Stimuli: height = 0.15
20.6201 	EXP 	Stimuli: autoDraw = True
20.6201 	EXP 	Stimuli: height = 0.15
20.6201 	EXP 	Stimuli: height = 0.15
20.6201 	EXP 	Stimuli: height = 0.15
20.6201 	EXP 	Stimuli: text = 'T'
23.4127 	EXP 	New trial (rep=0, index=14): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 22.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
23.4366 	EXP 	Stimuli: autoDraw = False
23.4366 	EXP 	Stimuli: autoDraw = False
23.4366 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
23.4366 	EXP 	Stimuli: height = 0.15
23.4366 	EXP 	Stimuli: height = 0.15
23.4366 	EXP 	Stimuli: height = 0.15
23.4366 	EXP 	Stimuli: text = '+'
23.4366 	EXP 	Stimuli: height = 0.05
23.4366 	EXP 	Stimuli: autoDraw = True
23.4366 	EXP 	Stimuli: height = 0.05
23.4366 	EXP 	Stimuli: height = 0.05
23.4366 	EXP 	Stimuli: height = 0.05
23.4366 	EXP 	Stimuli: text = '+'
